--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------

NOTES:  Run output sample:
        - Testing quick sort and its elapsed time over various array sizes and recursion limits.
        - Time totals are of average of running each case three times.
--------------------------------------------------------------------------------------------------------


============= Quick Sort for Array Size: 20000 =============

Recursions #: 236  |  Elapsed Time:   0 sec : 4 ms : 757106 ns = 4757106 ns
Recursions #: 238  |  Elapsed Time:   0 sec : 5 ms : 333890 ns = 5333890 ns
Recursions #: 240  |  Elapsed Time:   0 sec : 5 ms : 559545 ns = 5559545 ns
Recursions #: 242  |  Elapsed Time:   0 sec : 4 ms : 996813 ns = 4996813 ns
Recursions #: 244  |  Elapsed Time:   0 sec : 4 ms : 967539 ns = 4967539 ns
Recursions #: 246  |  Elapsed Time:   0 sec : 5 ms : 598928 ns = 5598928 ns
Recursions #: 248  |  Elapsed Time:   0 sec : 5 ms : 537403 ns = 5537403 ns
Recursions #: 250  |  Elapsed Time:   0 sec : 5 ms : 290932 ns = 5290932 ns
Recursions #: 252  |  Elapsed Time:   0 sec : 5 ms : 820725 ns = 5820725 ns
Recursions #: 254  |  Elapsed Time:   0 sec : 4 ms : 975266 ns = 4975266 ns
Recursions #: 256  |  Elapsed Time:   0 sec : 5 ms : 449634 ns = 5449634 ns
Recursions #: 258  |  Elapsed Time:   0 sec : 5 ms : 454557 ns = 5454557 ns
Recursions #: 260  |  Elapsed Time:   0 sec : 4 ms : 731859 ns = 4731859 ns
Recursions #: 262  |  Elapsed Time:   0 sec : 6 ms : 88294 ns = 6088294 ns
Recursions #: 264  |  Elapsed Time:   0 sec : 5 ms : 696987 ns = 5696987 ns
Recursions #: 266  |  Elapsed Time:   0 sec : 5 ms : 551374 ns = 5551374 ns
Recursions #: 268  |  Elapsed Time:   0 sec : 6 ms : 144339 ns = 6144339 ns
Recursions #: 270  |  Elapsed Time:   0 sec : 4 ms : 882239 ns = 4882239 ns
Recursions #: 272  |  Elapsed Time:   0 sec : 5 ms : 889139 ns = 5889139 ns
